0.000 0.000
0.000 0.050
0.000 0.150
0.000 0.250
0.000 0.350
0.000 0.450
0.000 0.550
0.000 0.650
0.000 0.750
0.000 0.850
0.000 0.950
0.000 1.000
0.050 0.000
0.050 0.050
0.050 0.150
0.050 0.250
0.050 0.350
0.050 0.450
0.050 0.550
0.050 0.650
0.050 0.750
0.050 0.850
0.050 0.950
0.050 1.000
0.150 0.000
0.150 0.050
0.150 0.150
0.150 0.250
0.150 0.350
0.150 0.450
0.150 0.550
0.150 0.650
0.150 0.750
0.150 0.850
0.150 0.950
0.150 1.000
0.250 0.000
0.250 0.050
0.250 0.150
0.250 0.250
0.250 0.350
0.250 0.450
0.250 0.550
0.250 0.650
0.250 0.750
0.250 0.850
0.250 0.950
0.250 1.000
0.350 0.000
0.350 0.050
0.350 0.150
0.350 0.250
0.350 0.350
0.350 0.450
0.350 0.550
0.350 0.650
0.350 0.750
0.350 0.850
0.350 0.950
0.350 1.000
0.450 0.000
0.450 0.050
0.450 0.150
0.450 0.250
0.450 0.350
0.450 0.450
0.450 0.550
0.450 0.650
0.450 0.750
0.450 0.850
0.450 0.950
0.450 1.000
0.550 0.000
0.550 0.050
0.550 0.150
0.550 0.250
0.550 0.350
0.550 0.450
0.550 0.550
0.550 0.650
0.550 0.750
0.550 0.850
0.550 0.950
0.550 1.000
0.650 0.000
0.650 0.050
0.650 0.150
0.650 0.250
0.650 0.350
0.650 0.450
0.650 0.550
0.650 0.650
0.650 0.750
0.650 0.850
0.650 0.950
0.650 1.000
0.750 0.000
0.750 0.050
0.750 0.150
0.750 0.250
0.750 0.350
0.750 0.450
0.750 0.550
0.750 0.650
0.750 0.750
0.750 0.850
0.750 0.950
0.750 1.000
0.850 0.000
0.850 0.050
0.850 0.150
0.850 0.250
0.850 0.350
0.850 0.450
0.850 0.550
0.850 0.650
0.850 0.750
0.850 0.850
0.850 0.950
0.850 1.000
0.950 0.000
0.950 0.050
0.950 0.150
0.950 0.250
0.950 0.350
0.950 0.450
0.950 0.550
0.950 0.650
0.950 0.750
0.950 0.850
0.950 0.950
0.950 1.000
1.000 0.000
1.000 0.050
1.000 0.150
1.000 0.250
1.000 0.350
1.000 0.450
1.000 0.550
1.000 0.650
1.000 0.750
1.000 0.850
1.000 0.950
1.000 1.000
